No,Name,Year,Team,Position,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,GDP,SAC,SF,AVG,OBP,SLG,OPS,wOBA,wRC+,WAR,WPA,Salary
94,정원배,1999,쌍,C,33,66,63,7,16,3,0,1,22,7,1,0,3,0,0,12,0,0,0,.254,.288,.349,.637,.287,61.0,0.17,,"1,500"
95,김종국,1999,해,SS,2,5,3,2,1,0,0,1,4,2,0,0,2,0,0,1,0,0,0,.333,.600,1.333,1.933,.668,310.5,0.16,,"3,900"
96,김지영,1999,해,C,36,43,38,5,8,1,0,2,15,6,0,0,4,0,0,12,0,1,0,.211,.286,.395,.681,.292,65.7,0.12,,"2,200"
97,최태원,1999,쌍,2B,132,563,486,60,116,19,0,2,141,40,12,6,54,6,0,60,5,9,7,.239,.318,.290,.608,.283,58.3,0.11,,"8,900"
100,정현택,1999,L,1B,17,42,38,6,10,0,1,1,15,2,1,0,3,1,0,9,0,0,0,.263,.333,.395,.728,.328,88.4,0.09,,"1,800"
101,송재익,1999,삼,,80,130,103,18,21,2,1,2,31,15,3,2,16,5,0,25,2,5,1,.204,.336,.301,.637,.292,65.8,0.09,,"2,000"
102,조남기,1999,해,C,1,4,4,1,2,1,0,0,3,3,0,0,0,0,0,0,0,0,0,.500,.500,.750,1.250,.544,229.8,0.09,,"1,800"
104,최만호,1999,현,RF,48,70,63,11,15,2,0,3,26,7,3,0,4,1,0,22,1,2,0,.238,.294,.413,.707,.301,70.7,0.07,,"2,200"
105,심광호,1999,한,C,24,22,20,3,3,1,0,2,10,7,0,0,1,1,0,6,1,0,0,.150,.227,.500,.727,.296,68.5,0.07,,"1,900"
106,황성기,1999,해,C,4,4,4,0,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,.500,.500,.500,1.000,.462,176.1,0.06,,"1,600"
107,김종석,1999,두,1B,14,25,20,4,4,1,0,1,8,2,0,0,5,0,0,6,1,0,0,.200,.360,.400,.760,.345,100.0,0.06,,"4,200"
108,김정민,1999,L,C,55,117,103,11,24,5,1,1,34,9,0,0,8,0,0,22,1,5,1,.233,.286,.330,.616,.267,47.1,0.06,,"3,500"
109,심재윤,1999,한,,50,71,66,13,13,2,0,5,30,12,1,0,2,2,0,23,0,0,1,.197,.239,.455,.694,.288,63.4,0.05,,"1,600"
110,이우석,1999,해,,2,8,7,2,2,0,0,0,2,0,1,0,1,0,0,1,0,0,0,.286,.375,.286,.661,.322,84.9,0.05,,"1,700"
111,정회선,1999,삼,,5,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,.462,176.2,0.03,,"1,800"
112,안재만,1999,L,,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,.000,.000,.000,.000,.000,,0.02,,"2,400"
113,추성건,1999,두,,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,0.02,,"2,800"
114,엄정대,1999,롯,,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,.000,.000,.000,.000,.000,,0.02,,"2,200"
115,손동일,1999,롯,C,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000,.000,,0.01,,"1,900"
116,조현,1999,L,,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,,0.01,,"2,300"
,유현승,1999,쌍,P,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,,0.01,,"2,500"
,김수경,1999,현,P,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,,0.01,,"4,000"
,강병규,1999,두,P,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,,0.01,,"6,900"
121,김정규,1999,두,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"2,000"
,오규택,1999,한,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"1,000"
,서한규,1999,롯,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"1,900"
,윤상무,1999,두,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"1,800"
,심재학,1999,L,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"7,300"
,김윤일,1999,두,C,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"1,700"
129,류중일,1999,삼,SS,56,70,60,13,14,1,0,0,15,6,1,0,6,1,0,14,1,3,0,.233,.313,.250,.563,.262,46.4,-0.01,,"6,800"
130,이용주,1999,현,,3,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,.333,.000,.333,.242,31.2,-0.01,,"2,000"
131,권오영,1999,한,,6,5,5,1,1,1,0,0,2,1,0,0,0,0,0,3,0,0,0,.200,.200,.400,.600,.251,39.2,-0.01,,"1,800"
133,김실,1999,두,CF,103,232,201,29,49,3,2,1,59,23,5,1,20,1,0,22,4,9,1,.244,.314,.294,.607,.275,52.0,-0.02,,"7,000"
134,강규철,1999,두,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-136.1,-0.02,,"1,900"
135,오주상,1999,한,,2,4,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,.000,.250,.000,.250,.181,-5.8,-0.03,,"1,450"
136,양용모,1999,쌍,1B,59,199,178,25,43,7,1,4,64,23,12,4,19,0,0,43,6,2,0,.242,.315,.360,.674,.303,72.1,-0.04,,"4,500"
137,채종국,1999,현,3B,1,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,.200,.200,.200,.400,.185,-7.0,-0.04,,"2,000"
138,장정석,1999,현,2B,50,73,59,13,12,0,0,1,15,5,1,0,10,1,1,18,0,2,1,.203,.324,.254,.578,.269,49.0,-0.04,,"3,800"
140,김광현,1999,삼,C,4,5,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,.000,.200,.000,.200,.145,-30.0,-0.05,,"2,200"
141,이동욱,1999,롯,,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,-126.7,-0.05,,"1,600"
142,조웅천,1999,현,P,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,-130.6,-0.05,,"5,200"
144,유필선,1999,롯,,23,41,37,6,7,2,0,1,12,3,0,0,2,2,0,9,0,0,0,.189,.268,.324,.593,.270,50.5,-0.05,,"3,000"
147,이연수,1999,쌍,RF,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,-130.8,-0.05,,"2,300"
148,백인호,1999,해,LF,27,28,25,2,6,0,0,0,6,4,0,0,3,0,0,7,0,0,0,.240,.321,.240,.561,.276,55.1,-0.06,,"4,000"
150,정경훈,1999,한,2B,15,7,3,4,0,0,0,0,0,1,0,2,3,0,0,1,0,1,0,.000,.500,.000,.500,.311,78.1,-0.07,,"2,900"
151,지승준,1999,해,,16,12,11,3,2,0,0,0,2,0,0,0,1,0,0,3,0,0,0,.182,.250,.182,.432,.214,15.2,-0.07,,"1,600"
152,박규대,1999,삼,,18,9,8,3,1,0,0,0,1,0,2,1,1,0,0,3,0,0,0,.125,.222,.125,.347,.183,-5.2,-0.08,,"1,800"
153,전형도,1999,두,,71,41,32,27,7,1,0,2,14,3,6,6,5,0,0,7,0,3,1,.219,.316,.438,.753,.301,70.3,-0.09,,"2,800"
156,김승권,1999,한,,35,28,28,5,6,2,0,0,8,1,1,0,0,0,0,2,1,0,0,.214,.214,.286,.500,.222,20.2,-0.12,,"1,700"
157,김갑중,1999,쌍,,52,109,99,7,22,5,1,2,35,11,2,1,7,0,0,19,2,2,1,.222,.271,.354,.625,.272,51.1,-0.12,,"2,000"
158,황윤성,1999,현,1B,11,35,30,3,7,1,0,1,11,2,0,1,3,0,0,11,0,2,0,.233,.303,.367,.670,.284,59.3,-0.12,,"1,500"
159,신경현,1999,한,C,11,9,7,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,.000,.111,.000,.111,.081,-71.0,-0.13,,"1,800"
160,이계성,1999,쌍,,18,31,28,2,6,1,0,0,7,1,0,0,2,0,0,11,0,1,0,.214,.267,.250,.517,.236,27.3,-0.13,,"2,200"
161,오충원,1999,쌍,,11,19,14,2,1,0,0,0,1,1,0,0,3,1,0,7,0,0,1,.071,.263,.071,.335,.203,5.0,-0.13,,"1,500"
162,강혁,1999,두,1B,15,23,20,4,3,2,0,0,5,2,0,0,3,0,0,5,0,0,0,.150,.261,.250,.511,.244,30.9,-0.13,,"2,000"
163,최해식,1999,해,C,130,362,318,36,68,8,1,7,99,34,0,2,25,3,0,46,16,16,0,.214,.278,.311,.589,.258,43.3,-0.15,,"5,600"
164,김태형,1999,두,C,37,89,80,4,16,5,0,1,24,4,0,0,5,1,0,9,1,3,0,.200,.256,.300,.556,.245,31.5,-0.15,,"5,100"
165,최동수,1999,L,1B,17,27,23,2,5,2,0,0,7,4,0,0,2,0,0,8,1,2,0,.217,.280,.304,.584,.249,35.1,-0.15,,"3,000"
166,김태룡,1999,해,3B,34,39,37,5,7,2,0,1,12,1,0,0,0,1,0,6,0,1,0,.189,.211,.324,.535,.227,23.3,-0.16,,"3,600"
168,공필성,1999,롯,3B,124,275,238,28,51,13,2,2,74,21,9,5,16,11,0,54,3,8,2,.214,.292,.311,.603,.271,51.4,-0.16,,"7,000"
170,손차훈,1999,현,,54,86,71,9,15,3,1,1,23,7,2,1,7,1,0,7,1,5,2,.211,.284,.324,.608,.259,42.6,-0.17,,"3,100"
171,조효상,1999,한,RF,19,9,9,1,1,0,0,0,1,0,0,1,0,0,0,7,0,0,0,.111,.111,.111,.222,.103,-56.7,-0.18,,"2,000"
172,김광림,1999,쌍,CF,71,162,144,11,33,5,0,0,38,12,5,1,14,1,1,22,3,1,2,.229,.298,.264,.562,.263,45.1,-0.19,,"4,250"
173,권오성,1999,해,C,37,60,54,5,8,1,0,1,12,5,0,0,4,2,0,18,2,0,0,.148,.233,.222,.456,.218,17.7,-0.20,,"2,400"
175,이재주,1999,현,C,9,16,15,0,1,0,0,0,1,0,0,0,1,0,0,4,3,0,0,.067,.125,.067,.192,.103,-61.6,-0.21,,"3,200"
176,박연수,1999,L,,19,37,37,2,7,1,1,0,10,3,0,0,0,0,0,15,0,0,0,.189,.189,.270,.460,.201,2.1,-0.26,,"2,200"
177,조규철,1999,롯,,15,15,12,4,1,0,1,0,3,1,0,1,0,0,0,6,1,3,0,.083,.083,.250,.333,.103,-58.7,-0.26,,"2,200"
178,김승관,1999,삼,2B,20,25,20,1,0,0,0,0,0,0,0,0,4,1,0,5,0,0,0,.000,.200,.000,.200,.146,-29.3,-0.27,,"2,100"
179,장재중,1999,쌍,C,118,380,346,29,73,8,4,4,101,36,5,3,25,1,1,56,4,4,4,.211,.263,.292,.555,.250,36.3,-0.29,,"2,600"
180,신국환,1999,L,2B,108,343,304,44,69,12,1,6,101,36,4,3,15,11,0,50,8,8,5,.227,.284,.332,.616,.272,50.6,-0.30,,"5,000"
181,이근엽,1999,쌍,2B,38,67,66,5,15,1,0,1,19,4,2,1,0,0,0,13,0,1,0,.227,.227,.288,.515,.226,20.6,-0.30,,"2,900"
182,김현민,1999,롯,,42,59,55,5,12,3,0,0,15,4,0,1,2,0,0,12,0,0,2,.218,.237,.273,.510,.229,24.0,-0.30,,"2,200"
183,이종민,1999,두,,65,100,92,8,22,4,1,0,28,9,0,1,4,0,0,13,4,4,0,.239,.271,.304,.575,.252,36.3,-0.34,,"3,600"
184,강민규,1999,쌍,,84,150,137,20,27,3,2,2,40,15,8,1,9,1,0,36,0,3,0,.197,.252,.292,.544,.243,31.6,-0.35,,"1,500"
185,김수관,1999,삼,2B,11,25,24,2,2,0,0,0,2,1,0,0,1,0,0,9,0,0,0,.083,.120,.083,.203,.103,-57.5,-0.35,,"2,200"
186,정회열,1999,삼,C,47,102,89,6,16,3,0,2,25,14,1,2,5,2,0,21,3,4,2,.180,.235,.281,.516,.224,21.3,-0.36,,"4,000"
187,김지훈,1999,삼,C,37,47,41,1,6,0,0,0,6,3,0,0,3,0,0,13,1,2,1,.146,.200,.146,.346,.164,-17.5,-0.36,,"2,100"
188,권준헌,1999,현,3B,22,63,52,7,9,1,0,0,10,5,2,1,6,0,0,10,0,4,1,.173,.254,.192,.447,.206,7.4,-0.38,,"4,000"
189,허준,1999,한,SS,54,29,27,3,1,0,0,0,1,0,0,0,2,0,0,8,0,0,0,.037,.103,.037,.141,.082,-70.2,-0.43,,"2,700"
192,염경엽,1999,현,2B,95,55,50,17,9,2,0,0,11,0,5,4,2,0,0,3,1,3,0,.180,.212,.220,.432,.190,-3.8,-0.48,,"4,300"
194,손지환,1999,L,2B,20,36,35,1,4,0,0,0,4,1,0,0,0,0,0,8,0,1,0,.114,.114,.114,.229,.103,-64.4,-0.54,,"2,700"
195,김종훈,1999,삼,LF,106,283,252,36,58,12,1,2,78,17,5,1,18,3,0,45,6,9,1,.230,.288,.310,.598,.267,49.0,-0.65,,"4,500"
196,김선진,1999,L,1B,102,238,205,31,48,6,2,1,61,21,5,5,19,5,0,31,4,6,3,.234,.310,.298,.608,.278,54.4,-0.73,,"5,300"
198,김영진,1999,삼,C,97,212,189,8,26,4,0,2,36,13,0,0,10,1,0,45,7,12,0,.138,.185,.190,.376,.166,-16.1,-1.60,,"4,300"
1,박경완,2000,현,C,130,517,408,83,115,16,0,40,251,95,7,4,87,12,7,112,7,6,4,.282,.419,.615,1.034,.432,162.6,7.47,,"11,500"
2,김동주,2000,두,3B,127,539,469,78,159,29,1,31,283,106,5,2,51,13,1,65,17,0,6,.339,.414,.603,1.017,.439,168.2,7.28,,"6,200"
3,박재홍,2000,현,CF,132,572,489,101,151,31,5,32,288,115,30,14,64,7,5,77,15,0,12,.309,.388,.589,.977,.415,150.7,6.75,,"13,000"
4,송지만,2000,한,RF,120,530,468,93,158,33,2,32,291,90,20,7,52,7,2,72,10,0,3,.338,.409,.622,1.031,.443,166.6,6.44,,"8,000"
6,박종호,2000,현,2B,121,541,441,89,150,30,3,10,216,58,9,5,61,12,0,47,4,20,7,.340,.428,.490,.918,.398,139.0,5.56,,"7,500"
7,심정수,2000,두,RF,126,542,454,75,138,21,2,29,250,91,3,0,69,10,1,67,12,0,9,.304,.400,.551,.951,.413,149.9,5.31,,"10,000"
9,이승엽,2000,삼,1B,125,544,454,108,133,33,0,36,274,95,4,5,80,7,7,113,5,0,3,.293,.404,.604,1.008,.428,157.3,5.18,,"30,000"
10,이병규,2000,L,CF,129,595,527,99,170,28,1,18,254,99,14,8,52,5,4,91,15,2,9,.323,.383,.482,.865,.381,128.0,5.17,,"12,000"
11,이영우,2000,한,LF,128,542,478,91,152,36,5,25,273,64,7,12,52,8,5,91,5,1,3,.318,.392,.571,.963,.415,148.2,4.92,,"7,000"
14,장성호,2000,해,1B,115,546,450,90,146,30,1,14,220,48,6,5,88,3,4,57,7,2,3,.324,.436,.489,.925,.413,148.2,4.66,,"7,400"
15,김재현,2000,L,RF,131,560,464,83,143,32,2,11,212,62,6,6,81,7,5,73,11,3,5,.308,.415,.457,.872,.391,134.5,4.26,,"12,000"
16,양준혁,2000,L,DH,117,514,432,79,135,30,2,15,214,92,15,4,73,5,4,65,6,0,3,.313,.415,.495,.911,.404,144.0,4.03,,"20,000"
17,김기태,2000,삼,DH,101,395,333,69,103,24,1,26,207,80,5,1,57,2,7,56,6,0,3,.309,.410,.622,1.032,.436,162.1,3.85,,"15,000"
18,유지현,2000,L,SS,129,592,495,97,139,24,1,7,186,38,25,9,73,2,1,50,4,18,4,.281,.373,.376,.749,.336,97.0,3.72,,"12,000"
19,마해영,2000,롯,1B,132,569,497,73,146,25,1,23,242,90,2,1,51,18,2,75,10,0,3,.294,.378,.487,.865,.384,128.6,3.52,,"14,500"
20,박진만,2000,현,SS,129,477,420,67,121,30,4,15,204,58,0,5,36,6,0,76,9,11,4,.288,.350,.486,.836,.359,112.7,3.51,,"5,500"
21,장원진,2000,두,LF,133,579,527,94,170,27,5,7,228,59,10,4,43,3,0,37,12,1,5,.323,.374,.433,.806,.365,116.6,3.49,,"6,400"
25,심재학,2000,현,RF,130,502,430,66,114,30,1,21,209,75,3,2,51,15,1,59,7,3,3,.265,.361,.486,.847,.371,120.8,3.06,,"8,000"
26,홍성흔,2000,두,C,127,484,438,55,127,13,2,10,174,59,10,3,32,3,2,50,12,7,4,.290,.340,.397,.737,.328,91.0,2.96,,"4,000"
27,정경배,2000,삼,2B,102,426,374,60,108,25,1,12,171,38,5,4,33,9,0,71,5,7,3,.289,.358,.457,.815,.358,111.4,2.81,,"8,500"
28,정수근,2000,두,CF,127,567,502,82,139,23,3,3,177,50,47,7,47,5,0,40,5,7,6,.277,.341,.353,.694,.317,83.7,2.78,,"10,500"
29,조경환,2000,롯,LF,113,438,386,52,102,15,2,25,196,64,1,4,42,9,2,113,6,0,1,.264,.349,.508,.857,.373,121.5,2.57,,"5,000"
30,홍현우,2000,해,3B,88,361,291,42,68,16,2,14,130,50,12,7,62,5,5,63,11,0,3,.234,.374,.447,.821,.363,115.0,2.52,,"14,000"
31,박정태,2000,롯,2B,107,439,386,51,110,15,2,6,147,53,3,0,47,1,1,42,13,2,3,.285,.362,.381,.742,.340,99.4,2.35,,"14,500"
32,장종훈,2000,한,1B,127,512,447,66,118,19,0,28,221,81,1,3,52,11,5,114,15,0,2,.264,.354,.494,.848,.369,118.6,2.35,,"12,000"
33,강석천,2000,한,3B,123,487,433,57,124,24,2,7,173,49,15,8,34,10,2,61,18,5,5,.286,.349,.400,.748,.335,96.5,2.35,,"9,500"
34,김대익,2000,롯,CF,133,534,464,72,129,27,4,6,182,47,12,11,53,2,3,82,5,11,4,.278,.352,.392,.744,.331,93.3,2.31,,"6,700"
35,전준호,2000,현,LF,87,334,263,53,83,12,2,1,102,18,18,8,51,6,1,36,0,13,1,.316,.436,.388,.824,.373,122.2,2.30,,"11,000"
35,전준호,2000,현,LF,87,334,263,53,83,12,2,1,102,18,18,8,51,6,1,36,0,13,1,.316,.436,.388,.824,.373,122.2,2.30,,"3,200"
36,이동수,2000,S,3B,96,274,224,34,58,11,1,14,113,40,1,2,34,10,0,73,5,1,5,.259,.374,.504,.878,.383,127.9,2.29,,"6,500"
38,안경현,2000,두,2B,114,377,328,48,91,16,1,9,136,39,1,0,35,6,1,29,8,5,3,.277,.355,.415,.770,.343,101.7,2.08,,"6,300"
40,신동주,2000,삼,CF,97,360,310,53,81,14,0,12,131,52,17,4,26,13,0,80,3,6,5,.261,.339,.423,.762,.336,96.9,2.01,,"8,000"
41,진갑용,2000,삼,C,114,330,297,30,81,14,0,8,119,58,2,1,23,6,0,45,7,0,4,.273,.333,.401,.734,.332,94.0,2.00,,"5,000"
42,이명수,2000,현,2B,85,236,206,26,69,10,2,4,95,39,1,3,22,2,1,24,7,3,3,.335,.399,.461,.860,.382,128.1,1.94,,"9,500"
43,추성건,2000,S,3B,84,248,212,28,64,8,0,6,90,29,2,1,32,1,0,60,5,1,2,.302,.393,.425,.817,.372,120.9,1.89,,"2,800"
44,이숭용,2000,현,1B,104,325,281,49,80,14,0,15,139,50,2,3,35,7,3,49,9,1,1,.285,.377,.495,.871,.382,128.2,1.88,,"8,200"
46,박현승,2000,롯,3B,111,407,344,40,83,19,2,6,124,39,23,3,47,5,1,54,4,10,1,.241,.340,.360,.701,.316,83.2,1.78,,"7,100"
47,최태원,2000,S,2B,133,568,492,71,129,15,0,5,159,50,9,4,56,10,1,55,9,7,3,.262,.348,.323,.671,.313,81.4,1.76,,"10,000"
48,이호성,2000,해,RF,117,468,397,52,96,25,0,8,145,57,13,1,65,4,1,102,8,0,2,.242,.353,.365,.718,.333,94.6,1.64,,"7,500"
49,안재만,2000,L,3B,83,236,202,29,52,9,1,11,96,34,5,3,28,2,0,51,4,2,2,.257,.350,.475,.826,.361,113.8,1.63,,"2,000"
50,김한수,2000,삼,3B,126,519,464,54,122,26,1,7,171,57,8,5,30,13,0,73,7,6,6,.263,.322,.369,.690,.312,80.8,1.51,,"11,000"
51,홍원기,2000,두,3B,113,258,221,31,60,8,2,5,87,30,2,2,25,6,0,54,4,5,1,.271,.360,.394,.753,.339,99.0,1.32,,"3,600"
53,김동수,2000,삼,C,90,238,200,23,41,9,1,11,85,30,0,2,31,4,2,43,7,0,3,.205,.319,.425,.744,.327,90.8,1.27,,"15,000"
54,김창희,2000,해,CF,97,307,250,36,59,8,1,5,84,37,3,3,48,5,2,67,7,3,1,.236,.368,.336,.704,.329,92.2,1.25,,"4,800"
55,최기문,2000,롯,C,122,391,338,44,82,14,2,7,121,37,10,2,24,6,0,52,6,21,2,.243,.303,.358,.661,.285,62.7,1.15,,"4,500"
56,이종열,2000,L,2B,131,492,420,65,105,19,4,6,150,35,9,5,41,7,0,60,3,23,1,.250,.326,.357,.683,.300,72.0,1.06,,"8,000"
57,김종훈,2000,삼,LF,127,504,444,73,109,24,2,11,170,40,7,2,46,6,0,86,9,6,2,.246,.323,.383,.706,.317,84.7,1.04,,"5,400"
62,강인권,2000,한,C,81,143,118,17,33,4,0,0,37,9,1,0,21,0,0,25,3,2,2,.280,.383,.314,.697,.330,93.1,0.87,,"2,500"
63,김응국,2000,롯,RF,107,439,401,57,111,15,3,6,150,45,9,7,34,2,4,78,7,1,1,.277,.336,.374,.710,.321,86.8,0.86,,"11,000"
64,박연수,2000,L,RF,67,146,128,19,36,5,0,7,62,14,0,1,15,2,1,32,2,1,0,.281,.366,.484,.850,.372,121.9,0.85,,"2,500"
65,김민재,2000,롯,SS,133,437,382,47,95,10,3,3,120,33,14,9,36,6,2,50,8,11,2,.249,.322,.314,.636,.289,65.7,0.84,,"8,000"
66,황우구,2000,한,SS,70,163,151,17,46,12,2,1,65,16,1,0,4,1,0,24,4,6,1,.305,.325,.430,.755,.324,89.3,0.84,,"2,200"
67,최익성,2000,L,RF,64,214,183,21,47,13,1,2,68,30,7,2,22,8,0,34,6,0,1,.257,.360,.372,.731,.340,99.5,0.83,,"6,000"
68,김종국,2000,해,2B,86,258,228,26,59,11,1,2,78,31,15,4,21,3,0,42,4,2,4,.259,.324,.342,.666,.305,76.4,0.81,,"3,300"
69,김민호,2000,두,SS,99,328,288,40,72,9,2,3,94,32,23,5,23,3,0,50,9,13,1,.250,.311,.326,.638,.284,60.8,0.78,,"9,000"
70,최해식,2000,해,C,101,289,244,22,59,9,1,1,73,25,0,3,33,2,0,51,7,10,0,.242,.337,.299,.636,.294,68.9,0.75,,"6,400"
73,이도형,2000,두,C,69,138,125,9,33,6,1,2,47,19,0,0,10,0,0,20,2,1,2,.264,.314,.376,.690,.309,78.1,0.58,,"3,600"
74,김태균,2000,삼,SS,127,446,396,43,95,20,1,4,129,36,5,2,31,4,1,87,15,12,3,.240,.300,.326,.625,.280,60.3,0.57,,"8,500"
77,서용빈,2000,L,1B,100,333,288,27,79,12,2,2,101,40,4,0,35,2,1,37,9,6,2,.274,.355,.351,.705,.322,87.2,0.50,,"6,300"
79,이민호,2000,S,3B,44,88,66,7,15,4,0,0,19,7,2,0,18,1,0,21,1,2,1,.227,.395,.288,.683,.330,93.1,0.42,,"3,400"
80,이진영,2000,S,LF,105,316,292,34,72,16,4,7,117,33,2,1,21,1,1,64,3,1,1,.247,.298,.401,.699,.309,79.0,0.41,,"2,600"
81,김성래,2000,S,2B,29,75,64,7,17,0,0,2,23,8,0,0,9,2,0,19,1,0,0,.266,.373,.359,.733,.345,102.7,0.40,,"6,500"
82,안상준,2000,L,3B,84,250,212,30,47,11,1,4,72,26,3,0,26,3,0,47,6,6,3,.222,.312,.340,.651,.293,66.9,0.40,,"4,800"
83,손인호,2000,롯,LF,106,271,248,28,68,21,1,1,94,23,0,1,18,1,0,39,5,3,1,.274,.325,.379,.704,.317,84.1,0.40,,"3,400"
84,김인호,2000,현,CF,115,324,281,48,64,17,2,3,94,21,8,4,30,3,0,44,6,9,1,.228,.308,.335,.643,.289,64.5,0.39,,"6,200"
85,김정민,2000,L,C,102,242,202,18,48,9,1,2,65,22,2,1,20,3,0,35,3,13,4,.238,.310,.322,.632,.277,56.0,0.39,,"4,500"
88,심광호,2000,한,C,55,100,85,8,19,1,0,3,29,7,1,0,11,1,0,31,3,1,2,.224,.313,.341,.654,.298,72.0,0.35,,"2,300"
90,박경진,2000,롯,C,56,81,73,8,20,2,0,1,25,10,0,0,3,3,0,12,1,0,2,.274,.321,.342,.664,.305,76.3,0.32,,"2,000"
91,장재중,2000,S,C,94,237,212,20,52,10,0,2,68,21,2,2,14,2,0,30,9,6,2,.245,.296,.321,.616,.276,56.8,0.31,,"4,000"
92,조경택,2000,한,C,87,189,163,13,35,9,0,1,47,13,0,1,19,3,0,46,2,4,0,.215,.308,.288,.597,.279,59.4,0.30,,"5,000"
93,임주택,2000,한,CF,104,193,175,21,41,5,0,6,64,27,0,0,12,3,0,54,3,2,1,.234,.293,.366,.659,.295,70.0,0.29,,"4,000"
94,이재주,2000,현,C,76,132,114,14,22,5,0,3,36,14,0,0,14,3,0,33,3,1,0,.193,.298,.316,.614,.285,61.7,0.28,,"3,000"
95,문희성,2000,두,RF,21,36,36,6,12,2,0,2,20,7,0,0,0,0,0,5,1,0,0,.333,.333,.556,.889,.386,131.5,0.26,,"2,500"
98,장일현,2000,해,LF,115,373,337,42,91,17,1,4,122,35,3,4,25,2,0,38,9,5,3,.270,.322,.362,.684,.308,78.0,0.23,,"2,500"
99,백재호,2000,한,2B,103,345,301,34,65,22,1,3,98,23,0,0,30,6,0,63,7,4,4,.216,.296,.326,.622,.284,62.8,0.23,,"6,200"
100,조인성,2000,L,C,108,258,227,19,51,5,1,5,73,33,2,1,16,4,0,59,6,6,5,.225,.282,.322,.603,.269,50.4,0.22,,"4,000"
101,양용모,2000,S,DH,97,238,212,31,57,10,0,5,82,32,7,4,19,4,0,52,6,2,1,.269,.339,.387,.726,.329,92.1,0.20,,"4,600"
103,김충민,2000,S,C,26,43,30,3,5,0,1,1,10,5,0,2,9,2,0,9,2,2,0,.167,.390,.333,.724,.333,95.0,0.19,,"3,400"
104,강혁,2000,두,1B,110,381,342,39,91,21,0,6,130,34,1,2,31,1,0,58,12,2,5,.266,.325,.380,.705,.318,84.1,0.17,,"2,000"
105,심재윤,2000,한,DH,84,102,87,15,21,3,1,4,38,8,1,2,12,2,1,28,4,1,0,.241,.347,.437,.783,.344,102.2,0.17,,"2,400"
106,임수혁,2000,롯,DH,10,20,19,3,5,1,0,3,15,7,0,1,1,0,0,6,0,0,0,.263,.300,.789,1.090,.440,166.1,0.16,,"5,200"
107,정현택,2000,L,1B,8,6,5,0,3,0,0,0,3,2,0,0,1,0,0,0,0,0,0,.600,.667,.600,1.267,.585,269.6,0.14,,"2,300"
109,엄정대,2000,롯,,32,18,15,6,4,0,1,0,6,3,0,0,2,1,0,1,0,0,0,.267,.389,.400,.789,.365,116.2,0.13,,"2,200"
110,김실,2000,두,CF,10,14,13,3,5,0,0,0,5,0,0,0,1,0,0,2,0,0,0,.385,.429,.385,.813,.384,129.7,0.13,,"6,700"
111,최동수,2000,L,1B,29,46,43,5,11,1,1,2,20,7,0,0,3,0,0,13,0,0,0,.256,.304,.465,.770,.336,96.5,0.12,,"2,800"
