No,Name,Year,Team,Position,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,GDP,SAC,SF,AVG,OBP,SLG,OPS,wOBA,wRC+,WAR,WPA,Salary,NextSalary
189,°­¸í±¸,2011,»ï,2B,89,66,58,22,10,1,0,1,14,5,19,4,5,0,0,16,0,2,1,.172,.234,.241,.476,.223,24.0,-0.01,,"5,300","6,000"
109,°­¸í±¸,2012,»ï,2B,72,11,10,16,1,0,0,0,1,0,15,3,1,0,0,1,1,0,0,.100,.182,.100,.282,.152,-21.0,0.11,,"6,000","6,000"
269,°­¹Î±¹,2015,N,2B,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,-132.4,-0.05,-0.03,"2,700","2,700"
99,°­¹ÎÈ£,2005,·Ô,C,104,230,214,20,52,11,2,2,73,18,1,4,5,2,0,56,7,9,0,.243,.267,.341,.608,.269,54.6,0.21,,"2,000","3,500"
26,°­¹ÎÈ£,2006,·Ô,C,126,460,410,40,103,20,0,9,150,53,4,1,23,11,2,78,5,14,2,.251,.307,.366,.673,.305,89.4,2.63,,"3,500","8,000"
20,°­¹ÎÈ£,2007,·Ô,C,125,474,413,48,112,20,0,14,174,68,1,4,37,4,1,88,10,17,3,.271,.335,.421,.756,.337,105.2,3.32,,"8,000","10,000"
6,°­¹ÎÈ£,2008,·Ô,C,122,501,435,51,127,25,1,19,211,82,2,4,49,7,1,77,13,0,10,.292,.365,.485,.850,.387,136.5,5.37,,"10,000","14,500"
45,°­¹ÎÈ£,2009,·Ô,C,83,301,262,36,68,13,0,9,108,30,0,0,33,3,1,44,9,0,3,.260,.346,.412,.758,.342,94.8,1.80,,"14,500","13,500"
6,°­¹ÎÈ£,2010,·Ô,C,117,465,410,66,125,19,1,23,215,72,2,7,42,8,1,65,16,0,5,.305,.376,.524,.901,.400,138.5,5.04,,"13,500","20,000"
7,°­¹ÎÈ£,2011,·Ô,C,124,506,450,63,130,25,2,19,216,66,4,6,47,8,2,81,18,0,1,.289,.366,.480,.846,.388,135.2,5.38,,"20,000","30,000"
9,°­¹ÎÈ£,2012,·Ô,C,119,454,400,41,109,21,0,19,187,66,0,1,44,8,2,97,9,0,2,.273,.355,.468,.822,.380,139.2,5.00,,"30,000","55,000"
25,°­¹ÎÈ£,2013,·Ô,C,105,405,327,48,77,13,0,11,123,57,4,1,60,11,3,87,5,1,6,.235,.366,.376,.743,.351,106.0,3.09,,"55,000","100,000"
58,°­¹ÎÈ£,2014,·Ô,C,98,360,310,37,71,14,2,16,137,40,1,2,33,13,3,92,6,0,4,.229,.325,.442,.767,.336,82.7,1.45,-0.40,"100,000","100,000"
8,°­¹ÎÈ£,2015,·Ô,C,123,456,380,63,118,18,1,35,243,86,0,0,60,14,2,112,14,0,2,.311,.421,.639,1.061,.451,164.9,5.23,4.59,"100,000","100,000"
8,°­¹ÎÈ£,2016,·Ô,C,116,460,381,65,123,26,0,20,209,72,4,0,66,10,4,91,7,0,3,.323,.433,.549,.981,.434,147.7,5.00,5.06,"100,000","100,000"
23,°­¹ÎÈ£,2017,·Ô,C,130,515,456,62,130,22,1,22,220,68,0,2,41,15,6,104,15,0,3,.285,.361,.482,.844,.367,110.9,3.51,0.96,"100,000","100,000"
177,°­º´½Ä,2003,Çö,,43,79,65,6,9,0,1,2,17,11,0,1,12,1,0,17,1,1,0,.138,.282,.262,.544,.261,46.7,-0.15,,"2,500","3,000"
141,°­º´½Ä,2004,Çö,,16,21,17,0,3,1,0,0,4,1,1,0,3,0,0,5,1,0,1,.176,.286,.235,.521,.256,43.5,-0.03,,"3,000","3,500"
59,°­º´½Ä,2005,Çö,LF,94,215,182,25,45,10,0,6,73,20,2,0,27,4,0,44,6,2,0,.247,.357,.401,.758,.350,111.5,1.06,,"3,500","3,800"
76,°­º´½Ä,2006,Çö,1B,93,156,133,16,29,7,1,4,50,25,1,1,19,4,0,28,7,0,0,.218,.333,.376,.709,.336,111.8,0.59,,"3,800","4,500"
82,°­º´½Ä,2007,Çö,1B,91,150,135,11,37,4,0,4,53,17,0,1,13,0,1,24,5,0,2,.274,.333,.393,.726,.336,104.1,0.38,,"4,500","4,000"
75,°­º´½Ä,2008,È÷,RF,71,141,119,12,32,8,0,4,52,17,0,2,14,3,1,18,2,3,2,.269,.355,.437,.792,.357,114.4,0.63,,"4,000","5,300"
262,°­º´½Ä,2011,³Ø,DH,77,189,167,16,29,8,1,2,45,17,2,0,15,2,0,53,3,4,1,.174,.249,.269,.518,.244,37.5,-0.98,,"8,000","7,000"
102,°­ºÀ±Ô,2001,µÎ,RF,64,97,89,16,21,7,1,2,36,11,2,0,6,1,0,28,1,1,0,.236,.292,.404,.696,.311,73.4,0.12,,"2,000","2,900"
73,°­ºÀ±Ô,2002,µÎ,RF,93,182,160,30,40,6,1,5,63,25,6,1,16,2,1,43,4,3,1,.250,.324,.394,.718,.315,90.2,0.58,,"2,900","4,500"
101,°­ºÀ±Ô,2003,µÎ,,6,15,13,3,3,0,0,1,6,3,1,0,2,0,0,2,1,0,0,.231,.333,.462,.795,.354,111.8,0.12,,"4,500","4,000"
88,°­ºÀ±Ô,2004,µÎ,,40,85,72,14,17,2,1,1,24,5,2,1,10,1,0,20,0,2,0,.236,.337,.333,.671,.313,81.5,0.27,,"4,000","4,000"
66,°­ºÀ±Ô,2007,»ï,RF,83,170,142,20,40,9,1,1,54,13,4,2,16,5,0,25,4,5,2,.282,.370,.380,.750,.345,110.6,0.84,,"5,400","6,400"
