No,Name,Year,Team,Position,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,GDP,SAC,SF,AVG,OBP,SLG,OPS,wOBA,wRC+,WAR,WPA,Salary,NextSalary
140,±èÀç°É,2006,»ï,2B,115,189,171,35,36,6,1,0,44,11,9,3,13,0,0,42,5,5,0,.211,.266,.257,.524,.246,47.4,-0.03,,"11,000","15,000"
77,±èÀç°É,2007,»ï,3B,116,378,314,39,73,12,0,2,91,22,17,7,34,6,0,68,6,21,3,.232,.317,.290,.606,.279,63.7,0.50,,"15,000","15,000"
84,±èÀç°É,2008,»ï,2B,99,219,187,19,43,4,3,1,56,11,6,3,20,6,1,29,11,5,1,.230,.322,.299,.622,.295,72.8,0.46,,"15,000","13,000"
88,±èÀç±¸,2006,S,1B,45,57,52,4,14,4,0,3,27,15,1,0,3,1,0,16,3,0,1,.269,.316,.519,.835,.376,141.6,0.44,,"2,500","3,000"
251,±èÀç±¸,2007,S,,24,23,22,0,3,1,0,0,4,0,0,0,1,0,0,8,0,0,0,.136,.174,.182,.356,.172,-14.7,-0.20,,"3,000","3,000"
336,±èÀçÀ¯,2015,·Ô,CF,18,10,9,3,1,0,0,0,1,1,1,0,0,1,0,3,0,0,0,.111,.200,.111,.311,.170,-17.3,-0.27,-0.18,"2,700","2,900"
354,±èÀçÀ¯,2016,·Ô,CF,21,30,27,8,4,0,0,0,4,1,2,3,1,1,0,7,1,1,0,.148,.207,.148,.355,.177,-17.7,-0.35,-0.26,"2,900","3,000"
,±èÀçÀ±,2016,k,P,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,"7,200","9,000"
90,±èÀçÀ²,2017,L,1B,75,198,181,21,55,9,0,6,82,28,0,1,10,2,0,35,8,4,1,.304,.345,.453,.798,.347,103.9,0.62,-0.10,"2,900","6,800"
173,±èÀçÇÐ,2002,L,,12,14,13,1,2,0,0,0,2,1,0,0,0,1,0,3,1,0,0,.154,.214,.154,.368,.184,-3.7,-0.11,,"2,100","2,300"
,±èÀçÇÐ,2003,L,,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,.000,-142.8,-0.02,,"2,300","2,400"
15,±èÀçÇö,1998,L,LF,122,541,482,70,142,31,3,16,227,76,8,6,47,7,2,80,6,2,3,.295,.364,.471,.835,.370,134.4,4.23,,"6,000","10,000"
30,±èÀçÇö,1999,L,RF,121,520,453,75,130,17,1,21,212,94,8,4,54,9,2,58,14,0,4,.287,.371,.468,.839,.369,116.4,2.93,,"10,000","12,000"
15,±èÀçÇö,2000,L,RF,131,560,464,83,143,32,2,11,212,62,6,6,81,7,5,73,11,3,5,.308,.415,.457,.872,.391,134.5,4.26,,"12,000","18,000"
13,±èÀçÇö,2001,L,RF,126,534,428,81,139,29,1,8,194,61,10,8,88,6,1,83,9,8,4,.325,.443,.453,.896,.411,141.6,4.52,,"18,000","18,000"
19,±èÀçÇö,2004,L,RF,120,458,373,56,112,18,3,14,178,62,1,1,66,12,5,58,10,0,7,.300,.415,.477,.892,.405,145.4,4.13,,"18,000","23,000"
9,±èÀçÇö,2005,S,DH,120,499,400,63,126,17,0,19,200,77,2,2,80,16,10,59,9,0,3,.315,.445,.500,.945,.427,165.8,4.68,,"23,000","23,000"
19,±èÀçÇö,2006,S,DH,109,441,356,42,102,16,1,8,144,51,5,2,76,6,3,56,10,1,2,.287,.418,.404,.823,.388,150.4,3.36,,"23,000","4,300"
210,±èÀçÇö,2007,S,DH,84,250,204,26,40,11,0,5,66,19,4,4,43,1,4,40,10,1,1,.196,.337,.324,.661,.313,87.5,-0.04,,"25,000","30,000"
223,±èÀçÇö,2008,S,RF,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,.000,.000,.000,.000,.000,-132.3,-0.07,,"2,000","50,000"
33,±èÀçÇö,2009,S,DH,112,359,289,45,87,18,0,10,135,51,8,1,63,5,3,45,5,0,1,.301,.433,.467,.900,.408,139.6,2.51,,"2,100","50,000"
279,±èÀçÇö,2012,S,RF,84,93,89,22,19,4,0,0,23,5,12,5,0,0,0,18,2,4,0,.213,.214,.258,.472,.212,21.1,-0.45,,"2,400","3,200"
111,±èÀçÇö,2013,S,RF,33,42,36,12,10,2,1,0,14,6,11,2,4,0,0,8,1,1,1,.278,.342,.389,.730,.332,93.3,0.28,,"3,200","2,400"
227,±èÀçÇö,2014,S,CF,60,28,25,12,5,1,0,0,6,6,8,1,0,2,0,10,0,0,1,.200,.250,.240,.490,.234,24.5,-0.03,0.26,"4,000","4,400"
350,±èÀçÇö,2015,»ï,SS,73,48,41,7,7,0,0,0,7,5,0,0,5,0,0,11,1,2,0,.171,.261,.171,.432,.213,9.2,-0.43,-0.07,"4,500","4,000"
345,±èÀçÇö,2016,³Ø,C,56,82,72,8,13,2,0,0,15,8,0,0,7,1,0,14,1,2,0,.181,.263,.208,.471,.231,14.9,-0.31,-0.13,"4,400","7,000"
346,±èÀçÇö,2017,³Ø,C,70,88,84,6,14,2,0,2,22,6,0,0,3,1,0,27,4,0,0,.167,.205,.262,.467,.211,9.0,-0.46,-1.08,"5,300","5,100"
49,±èÀçÈ£,2008,µÎ,SS,112,292,261,48,65,8,5,1,86,21,12,3,25,2,0,33,7,3,1,.249,.318,.330,.648,.307,80.6,1.38,,"2,600","4,400"
85,±èÀçÈ£,2009,µÎ,2B,80,205,180,27,43,9,4,3,69,36,4,1,20,1,0,27,5,0,4,.239,.312,.383,.696,.313,75.0,0.54,,"4,400","5,400"
91,±èÀçÈ£,2010,µÎ,SS,83,102,85,11,19,3,1,0,24,8,5,1,14,1,0,15,3,2,0,.224,.340,.282,.622,.301,72.3,0.36,,"5,400","5,200"
253,±èÀçÈ£,2011,µÎ,SS,57,122,109,6,20,5,1,0,27,9,1,1,7,2,0,15,4,2,2,.183,.242,.248,.489,.232,29.0,-0.31,,"5,200","5,700"
110,±èÀçÈ£,2012,µÎ,SS,84,200,177,23,38,2,2,0,44,11,3,3,16,2,0,31,5,5,0,.215,.287,.249,.536,.258,53.5,0.10,,"5,700","7,000"
43,±èÀçÈ£,2013,µÎ,SS,91,286,248,42,78,10,3,1,97,32,9,6,26,0,0,24,7,10,2,.315,.377,.391,.768,.352,106.8,2.00,,"7,000","11,700"
78,±èÀçÈ£,2014,µÎ,SS,122,421,341,50,86,14,1,3,111,54,2,8,54,2,0,59,14,13,11,.252,.348,.326,.674,.310,71.7,0.66,-1.06,"11,700","41,000"
24,±èÀçÈ£,2015,µÎ,SS,133,488,410,63,126,24,3,3,165,50,7,2,54,3,0,42,18,14,7,.307,.386,.402,.789,.354,105.3,3.64,-0.40,"41,000","41,000"
30,±èÀçÈ£,2016,µÎ,SS,137,496,416,69,129,27,3,7,183,78,8,4,57,5,1,52,8,5,13,.310,.389,.440,.829,.374,110.5,3.24,2.40,"41,000","65,000"
42,±èÀçÈ£,2017,µÎ,SS,91,331,283,34,83,18,1,7,124,50,7,1,36,3,1,52,6,2,7,.293,.371,.438,.809,.358,111.1,2.17,1.09,"65,000","65,000"
250,±èÀçÈ¯,2011,µÎ,DH,30,56,54,4,10,3,0,2,19,8,1,1,1,1,0,14,2,0,0,.185,.214,.352,.566,.258,46.7,-0.27,,"2,400","2,600"
71,±èÀçÈ¯,2014,µÎ,C,52,96,85,12,26,6,0,3,41,13,1,0,11,0,1,12,3,0,0,.306,.385,.482,.868,.386,127.2,0.81,-0.27,"2,700","5,000"
95,±èÀçÈ¯,2015,µÎ,1B,48,180,153,24,36,8,0,7,65,22,4,1,22,2,1,39,6,1,2,.235,.335,.425,.760,.336,100.9,0.48,0.59,"5,000","5,000"
4,±èÀçÈ¯,2016,µÎ,LF,134,568,492,107,160,32,3,37,309,124,8,2,71,0,3,107,9,0,5,.325,.407,.628,1.035,.442,162.7,5.75,5.71,"5,000","20,000"
1,±èÀçÈ¯,2017,µÎ,LF,144,636,544,110,185,34,2,35,328,115,4,1,81,7,10,123,8,0,4,.340,.429,.603,1.032,.440,170.7,7.45,7.45,"20,000","47,000"
184,±èÁ¤±Ô,1997,O,,14,42,39,4,10,1,0,0,11,2,0,0,0,1,0,8,1,2,0,.256,.275,.282,.557,.249,46.7,-0.07,,"1,900","2,100"
140,±èÁ¤±Ô,1998,O,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-133.8,-0.02,,"2,100","2,000"
177,±èÁ¤¹Î,1997,L,C,7,18,18,0,4,0,0,0,4,0,0,0,0,0,0,3,0,0,0,.222,.222,.222,.444,.207,17.0,-0.06,,"3,300","3,300"
123,±èÁ¤¹Î,1998,L,C,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,.733,,0.01,,"3,300","3,500"
108,±èÁ¤¹Î,1999,L,C,55,117,103,11,24,5,1,1,34,9,0,0,8,0,0,22,1,5,1,.233,.286,.330,.616,.267,47.1,0.06,,"3,500","4,500"
85,±èÁ¤¹Î,2000,L,C,102,242,202,18,48,9,1,2,65,22,2,1,20,3,0,35,3,13,4,.238,.310,.322,.632,.277,56.0,0.39,,"4,500","6,800"
97,±èÁ¤¹Î,2001,L,C,61,122,108,8,28,4,1,0,34,12,0,0,7,1,0,27,2,6,0,.259,.310,.315,.625,.282,54.1,0.17,,"6,800","6,600"
125,±èÁ¤¹Î,2002,L,C,32,39,37,3,8,3,0,0,11,4,0,0,2,0,0,13,1,0,0,.216,.256,.297,.554,.252,45.2,0.01,,"6,600","6,300"
110,±èÁ¤¹Î,2003,L,C,9,9,9,0,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,.333,.333,.444,.778,.351,109.2,0.07,,"6,300","6,300"
107,±èÁ¤¹Î,2004,L,C,61,105,97,10,26,3,0,1,32,15,0,1,1,1,0,23,1,3,3,.268,.275,.330,.604,.269,50.7,0.07,,"6,300","6,500"
63,±èÁ¤¹Î,2005,L,C,79,211,186,19,51,9,0,5,75,29,0,2,7,6,0,20,8,10,2,.274,.318,.403,.722,.315,87.5,1.00,,"6,500","8,100"
51,±èÁ¤¹Î,2008,L,C,71,178,155,11,47,6,0,1,56,17,1,1,14,3,0,21,2,5,1,.303,.370,.361,.731,.341,104.4,1.25,,"8,000","8,500"
328,±èÁ¤Çõ,2015,»ï,1B,17,20,18,3,3,0,0,0,3,1,0,0,1,0,0,3,0,1,0,.167,.211,.167,.377,.177,-14.3,-0.23,-0.35,"3,300","3,300"
76,±èÁ¾±¹,1997,ÇØ,2B,126,433,371,52,78,15,0,9,120,35,13,4,37,2,1,74,8,20,3,.210,.283,.323,.607,.268,61.9,0.48,,"3,600","4,500"
76,±èÁ¾±¹,1998,ÇØ,SS,42,139,125,15,29,2,1,2,39,11,8,2,7,4,0,21,5,2,1,.232,.292,.312,.604,.276,67.8,0.43,,"4,500","3,900"
95,±èÁ¾±¹,1999,ÇØ,SS,2,5,3,2,1,0,0,1,4,2,0,0,2,0,0,1,0,0,0,.333,.600,1.333,1.933,.668,310.5,0.16,,"3,900","3,300"
68,±èÁ¾±¹,2000,ÇØ,2B,86,258,228,26,59,11,1,2,78,31,15,4,21,3,0,42,4,2,4,.259,.324,.342,.666,.305,76.4,0.81,,"3,300","3,900"
40,±èÁ¾±¹,2001,ÇØ,2B,101,416,361,63,103,15,3,4,136,25,21,12,40,5,0,56,5,7,3,.285,.362,.377,.739,.341,94.4,1.99,,"3,900","6,900"
12,±èÁ¾±¹,2002,K,2B,133,595,527,95,151,26,3,8,207,53,50,9,61,3,0,116,5,3,1,.287,.363,.393,.756,.343,109.8,4.85,,"6,900","11,000"
41,±èÁ¾±¹,2003,K,2B,125,539,464,67,116,23,1,6,159,46,31,11,53,4,0,67,3,14,3,.250,.330,.343,.673,.305,77.4,1.77,,"11,000","13,000"
30,±èÁ¾±¹,2004,K,2B,133,562,491,66,130,20,1,10,182,46,39,8,46,5,0,81,10,18,2,.265,.333,.371,.703,.319,85.9,2.65,,"13,000","11,000"
72,±èÁ¾±¹,2005,K,2B,117,429,374,39,88,15,3,4,121,40,11,5,37,3,0,68,7,10,5,.235,.306,.324,.629,.289,69.9,0.81,,"11,000","11,000"
82,±èÁ¾±¹,2006,K,2B,111,369,323,35,73,17,1,1,95,26,16,5,25,3,0,59,6,16,2,.226,.286,.294,.580,.266,61.3,0.50,,"11,000","15,000"
39,±èÁ¾±¹,2007,K,SS,93,342,288,47,69,13,0,6,100,28,13,3,40,6,0,39,13,6,2,.240,.342,.347,.690,.324,96.0,2.09,,"15,000","15,000"
65,±èÁ¾±¹,2008,K,2B,113,346,300,33,70,16,3,1,95,26,13,3,33,2,0,57,5,10,1,.233,.313,.317,.629,.294,71.9,0.93,,"15,000","12,000"
298,±èÁ¾¹Î,2015,k,C,26,35,32,2,7,0,0,0,7,1,0,1,2,1,0,3,0,0,0,.219,.286,.219,.505,.251,32.1,-0.11,-0.47,"3,800","3,800"
338,±èÁ¾¹Î,2016,k,C,78,217,180,17,44,3,0,0,47,20,0,0,21,3,0,32,3,10,3,.244,.329,.261,.590,.279,46.6,-0.28,-0.55,"3,800","5,500"
312,±èÁ¾¹Î,2017,N,C,22,24,22,2,3,0,0,0,3,1,0,0,2,0,0,2,1,0,0,.136,.208,.136,.345,.177,-14.4,-0.18,-0.00,"5,500","5,300"
33,±èÁ¾¼®,2001,ÇÑ,DH,116,445,390,66,123,22,2,16,197,65,4,1,49,1,1,78,9,0,5,.315,.389,.505,.894,.400,132.2,2.70,,"5,000","9,000"
214,±èÁ¾¼®,2002,ÇÑ,1B,77,209,186,21,35,9,0,2,50,14,4,4,22,0,1,41,6,0,1,.188,.273,.269,.542,.251,47.5,-0.83,,"9,000","7,000"
103,±èÁ¾¼®,2003,ÇÑ,1B,78,182,152,11,36,6,0,3,51,17,0,3,28,1,2,36,6,1,0,.237,.359,.336,.695,.324,90.7,0.11,,"7,000","6,700"
68,±èÁ¾Çå,1998,L,CF,88,108,97,21,28,4,0,1,35,13,6,4,8,0,0,23,1,1,2,.289,.336,.361,.697,.315,95.2,0.50,,"4,000","4,500"
67,±èÁ¾Çå,1999,L,LF,101,157,140,36,43,5,3,1,57,19,9,1,13,0,0,21,2,4,0,.307,.366,.407,.773,.342,97.9,0.75,,"4,500","5,500"
199,±èÁ¾È£,2011,»ï,RF,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-126.5,-0.02,,"2,800","2,800"
116,±èÁ¾È£,2012,»ï,LF,22,14,12,3,3,0,0,0,3,0,1,0,1,1,0,3,0,0,0,.250,.357,.250,.607,.310,89.9,0.06,,"2,800","3,000"
35,±èÁ¾È£,2013,N,LF,128,546,465,72,129,12,7,0,155,22,50,14,57,17,1,100,11,6,1,.277,.376,.333,.709,.343,100.7,2.74,,"3,000","9,000"
127,±èÁ¾È£,2014,N,LF,113,347,317,58,83,11,4,2,108,25,22,7,19,6,0,55,4,5,0,.262,.316,.341,.657,.302,64.0,0.06,0.25,"9,000","17,500"
56,±èÁ¾È£,2015,N,LF,133,486,424,90,125,16,7,4,167,36,41,10,44,4,0,65,11,10,3,.295,.364,.394,.758,.342,97.8,1.84,0.70,"17,500","17,500"
45,±èÁ¾ÈÆ,1998,»ï,LF,101,314,274,49,76,11,3,4,105,26,10,1,23,5,0,48,5,9,3,.277,.341,.383,.724,.320,98.9,1.43,,"3,700","4,500"
195,±èÁ¾ÈÆ,1999,»ï,LF,106,283,252,36,58,12,1,2,78,17,5,1,18,3,0,45,6,9,1,.230,.288,.310,.598,.267,49.0,-0.65,,"4,500","5,400"
57,±èÁ¾ÈÆ,2000,»ï,LF,127,504,444,73,109,24,2,11,170,40,7,2,46,6,0,86,9,6,2,.246,.323,.383,.706,.317,84.7,1.04,,"5,400","6,000"
68,±èÁ¾ÈÆ,2001,»ï,LF,93,283,245,43,71,7,1,5,95,21,2,3,26,3,1,46,3,9,0,.290,.365,.388,.753,.340,94.0,0.77,,"6,000","8,500"
59,±èÁ¾ÈÆ,2002,»ï,LF,105,229,193,29,54,10,1,3,75,22,3,1,26,3,1,43,7,6,1,.280,.372,.389,.761,.337,106.1,1.02,,"8,500","10,500"
186,±èÁ¾ÈÆ,2003,»ï,LF,88,90,84,12,19,4,1,1,28,13,0,0,3,1,0,14,1,2,0,.226,.261,.333,.595,.265,49.9,-0.19,,"10,500","11,000"
66,±èÁ¾ÈÆ,2004,»ï,LF,127,392,341,40,90,14,2,5,123,36,5,2,36,4,0,69,7,10,1,.264,.340,.361,.701,.322,88.1,0.94,,"11,000","11,000"
80,±èÁ¾ÈÆ,2005,»ï,LF,70,167,146,19,42,4,1,2,54,18,3,1,11,4,0,30,4,3,3,.288,.348,.370,.717,.329,97.2,0.58,,"11,000","11,000"
192,±èÁ¾ÈÆ,2006,»ï,RF,96,185,163,18,33,7,0,0,40,6,0,2,11,3,0,36,2,8,0,.202,.266,.245,.511,.239,42.0,-0.69,,"11,000","13,000"
43,±èÁÖÂù,2001,·Ô,1B,86,333,300,57,94,21,4,4,135,31,29,8,24,2,0,56,7,2,5,.313,.363,.450,.813,.366,111.1,1.81,,"2,300","4,100"
204,±èÁÖÂù,2002,·Ô,1B,84,291,264,25,58,13,4,7,100,25,9,8,14,5,0,75,5,7,1,.220,.271,.379,.650,.281,66.4,-0.45,,"4,100","4,600"
215,±èÁÖÂù,2003,·Ô,1B,55,131,125,12,20,5,1,3,36,3,7,2,5,0,0,33,1,1,0,.160,.192,.288,.480,.213,12.2,-0.91,,"4,600","4,000"
23,±èÁÖÂù,2008,·Ô,CF,104,458,412,75,129,16,7,1,162,42,32,18,24,8,0,61,6,9,5,.313,.359,.393,.752,.347,108.5,3.08,,"6,600","10,500"
36,±èÁÖÂù,2009,·Ô,1B,109,479,435,77,135,30,5,7,196,51,34,7,28,6,0,56,7,4,6,.310,.356,.451,.806,.359,105.7,2.26,,"10,500","15,000"
61,±èÁÖÂù,2010,·Ô,1B,118,535,485,89,134,18,4,9,187,40,65,19,31,5,1,65,5,11,3,.276,.324,.386,.710,.320,85.4,1.30,,"15,000","17,000"
35,±èÁÖÂù,2011,·Ô,LF,86,371,321,58,100,12,3,6,136,40,25,10,27,7,0,38,4,12,4,.312,.373,.424,.797,.361,117.3,2.40,,"17,000","27,000"
26,±èÁÖÂù,2012,·Ô,LF,118,488,435,62,128,27,3,5,176,39,32,13,30,7,1,48,7,11,5,.294,.346,.405,.751,.344,113.7,2.88,,"27,000","50,000"
66,±èÁÖÂù,2013,K,LF,47,195,168,24,51,9,4,0,68,28,23,3,15,4,1,18,4,7,1,.304,.372,.405,.777,.352,106.8,1.32,,"50,000","50,000"
31,±èÁÖÂù,2014,K,LF,100,442,399,72,138,32,4,9,205,46,22,10,31,4,2,48,11,6,2,.346,.397,.514,.911,.399,127.7,3.06,2.47,"50,000","50,000"
36,±èÁÖÂù,2015,K,DH,98,377,333,66,109,23,2,18,190,62,8,2,23,12,3,58,10,1,8,.327,.383,.571,.954,.408,137.3,2.57,1.70,"50,000","50,000"
20,±èÁÖÂù,2016,K,LF,130,555,511,97,177,37,3,23,289,101,9,7,30,7,1,68,13,1,6,.346,.386,.566,.952,.415,135.8,4.12,3.62,"50,000","60,000"
38,±èÁÖÂù,2017,K,1B,122,478,440,78,136,39,2,12,215,70,9,2,31,4,0,59,17,2,1,.309,.359,.489,.848,.372,116.0,2.34,2.00,"60,000","40,000"
,±èÁÖÇÑ,2016,S,P,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,"2,700","5,700"
262,±èÁÖÇö,2014,·Ô,LF,9,12,12,2,2,1,0,0,3,1,0,0,0,0,0,4,0,0,0,.167,.167,.250,.417,.184,-14.3,-0.12,-0.03,"2,000","3,300"
143,±èÁÖÇö,2015,·Ô,LF,47,79,73,7,19,4,0,2,29,12,1,0,5,0,0,19,3,1,0,.260,.308,.397,.705,.313,76.5,0.03,0.04,"3,300","2,700"
292,±èÁÖÇö,2016,·Ô,LF,21,33,29,4,6,4,0,0,10,1,1,0,3,0,0,12,0,1,0,.207,.281,.345,.626,.279,47.6,-0.11,-0.46,"3,300","2,800"
201,±èÁÖÇü,2005,K,,39,114,99,6,17,3,0,0,20,6,0,0,9,4,1,25,3,2,0,.172,.268,.202,.470,.229,29.2,-0.45,,"2,200","2,200"
87,±èÁÖÇü,2006,K,,34,55,52,8,14,5,0,2,25,6,0,0,2,1,0,17,2,0,0,.269,.309,.481,.790,.362,130.1,0.44,,"2,200","2,500"
86,±èÁÖÇü,2007,K,1B,36,120,108,14,25,7,0,6,50,16,1,1,5,4,0,30,3,2,1,.231,.288,.463,.751,.334,103.0,0.34,,"2,500","2,500"
260,±èÁÖÇü,2011,K,1B,88,300,271,23,54,14,0,9,95,40,1,0,17,4,0,71,6,7,1,.199,.256,.351,.607,.275,58.9,-0.66,,"2,500","4,500"
284,±èÁÖÇü,2012,K,1B,56,129,117,8,18,2,0,3,29,12,0,0,6,1,0,35,0,3,2,.154,.198,.248,.446,.207,16.8,-0.92,,"4,500","3,500"
121,±èÁÖÇü,2013,K,1B,81,279,249,27,60,8,0,9,95,34,1,0,23,3,1,54,7,0,4,.241,.308,.382,.690,.320,84.8,0.22,,"3,500","6,100"
216,±èÁÖÇü,2014,K,1B,64,176,151,16,37,4,0,7,62,26,0,3,17,2,0,19,3,4,2,.245,.326,.411,.736,.323,77.4,-0.00,-0.04,"6,100","5,500"
341,±èÁÖÇü,2015,K,1B,45,88,83,2,19,3,0,2,28,3,0,0,3,2,0,22,3,0,0,.229,.273,.337,.610,.278,51.1,-0.34,-0.77,"5,500","5,500"
47,±èÁÖÇü,2016,K,SS,135,387,345,43,97,16,1,19,172,49,1,2,34,6,0,55,9,1,1,.281,.355,.499,.854,.376,110.4,2.17,0.05,"5,500","11,000"
359,±èÁÖÇü,2017,K,3B,57,116,106,11,18,5,0,0,23,10,0,0,8,1,0,13,5,0,1,.170,.233,.217,.450,.215,11.4,-0.79,-0.63,"11,000","7,500"
149,±èÁØ¿Ï,2015,N,CF,30,54,44,12,10,0,0,0,10,2,2,1,10,0,0,10,1,0,0,.227,.370,.227,.598,.309,74.2,0.03,-0.19,"3,000","3,000"
65,±èÁØ¿Ï,2016,N,CF,122,325,253,60,66,7,1,1,78,12,2,5,66,2,0,62,4,2,1,.261,.416,.308,.724,.360,102.6,1.18,0.38,"3,000","7,000"
339,±èÁØÅÂ,2015,·Ô,C,27,31,26,0,4,0,0,0,4,0,0,0,4,0,0,12,1,1,0,.154,.267,.154,.421,.215,14.3,-0.32,-0.39,"3,000","3,000"
281,±èÁö¼º,2016,L,SS,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,.000,-133.8,-0.07,-0.04,"3,800","3,800"
130,±èÁö¼ö,2013,³Ø,2B,37,60,48,9,13,2,0,0,15,3,1,0,7,0,0,9,1,4,1,.271,.357,.313,.670,.305,75.3,0.16,,"2,400","3,500"
257,±èÁö¼ö,2014,³Ø,SS,28,29,23,2,4,0,0,0,4,3,1,0,4,0,0,2,1,2,0,.174,.296,.174,.470,.232,17.8,-0.11,-0.19,"3,500","5,500"
248,±èÁö¼ö,2015,³Ø,2B,104,151,132,23,31,7,0,0,38,13,2,1,9,2,0,27,2,7,1,.235,.292,.288,.580,.261,41.2,-0.00,-0.69,"5,500","5,500"
114,±èÁö¼ö,2016,³Ø,2B,81,106,91,16,26,5,0,3,40,9,2,2,10,0,0,16,3,4,1,.286,.353,.440,.793,.345,88.8,0.32,0.20,"5,500","6,200"
345,±èÁö¼ö,2017,³Ø,2B,64,40,35,7,6,0,0,1,9,5,0,1,2,0,0,8,0,1,2,.171,.205,.257,.462,.200,2.5,-0.45,-0.06,"6,200","6,200"
67,±èÁö¿µ,1997,ÇØ,C,17,43,38,7,15,2,0,1,20,3,0,0,4,0,0,9,0,1,0,.395,.452,.526,.979,.435,176.1,0.69,,"1,400","2,400"
108,±èÁö¿µ,1998,ÇØ,C,15,37,35,3,9,1,0,0,10,4,0,0,1,0,0,8,1,1,0,.257,.278,.286,.564,.254,52.6,0.04,,"2,400","2,200"
96,±èÁö¿µ,1999,ÇØ,C,36,43,38,5,8,1,0,2,15,6,0,0,4,0,0,12,0,1,0,.211,.286,.395,.681,.292,65.7,0.12,,"2,200","2,400"
98,±èÁöÈÆ,2002,K,C,49,52,48,6,11,1,0,3,21,9,0,0,1,1,0,14,4,2,0,.229,.260,.438,.698,.291,73.9,0.19,,"2,300","3,000"
119,±èÁöÈÆ,2003,K,C,39,39,33,4,7,3,0,1,13,3,0,0,1,1,0,15,0,4,0,.212,.257,.394,.651,.260,45.9,0.02,,"3,000","3,400"
371,±èÁø°ï,2015,k,LF,67,87,85,11,18,1,0,0,19,6,4,2,0,1,0,20,0,1,0,.212,.221,.224,.445,.206,2.7,-0.83,0.04,"3,500","3,500"
294,±èÁø°ï,2016,k,,13,8,8,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,.125,.125,.125,.250,.118,-57.6,-0.12,-0.18,"3,500","3,000"
,±èÁø¼º,2016,N,P,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,"15,000","18,000"
,±èÁø¼º,2017,N,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,"18,000","23,000"
263,±èÁø¼ö,2007,µÎ,C,45,46,45,1,7,1,0,0,8,0,1,1,1,0,0,14,2,0,0,.156,.174,.178,.352,.169,-15.4,-0.33,,"2,200","2,700"
220,±èÁø¼ö,2008,µÎ,C,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,-130.2,-0.06,,"2,700","2,500"
,±èÁø¿ì,2016,K,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,"12,000","12,000"
269,±èÁøÇü,2014,µÎ,3B,28,42,38,5,9,1,0,0,10,5,0,0,3,0,0,7,0,1,0,.237,.293,.263,.556,.262,38.3,-0.15,0.28,"2,500","3,000"
168,±èÂùÇü,2017,N,SS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,"2,700","2,700"
41,±èÃ¢Èñ,1997,ÇØ,RF,102,350,315,41,83,20,1,9,132,43,2,2,27,5,2,50,7,2,1,.263,.331,.419,.750,.337,109.1,1.61,,"2,000","3,000"
30,±èÃ¢Èñ,1998,ÇØ,CF,124,500,439,49,117,23,1,12,178,64,5,2,46,7,6,71,13,5,3,.267,.343,.405,.749,.332,106.6,3.03,,"3,000","4,000"
36,±èÃ¢Èñ,1999,ÇØ,CF,117,412,341,55,89,12,0,10,131,39,5,5,57,7,1,58,6,7,0,.261,.378,.384,.762,.345,100.1,2.05,,"4,000","4,800"
54,±èÃ¢Èñ,2000,ÇØ,CF,97,307,250,36,59,8,1,5,84,37,3,3,48,5,2,67,7,3,1,.236,.368,.336,.704,.329,92.2,1.25,,"4,800","4,900"
54,±èÃ¢Èñ,2001,ÇØ,CF,88,271,232,28,65,10,0,5,90,25,3,5,32,3,0,64,7,3,1,.280,.373,.388,.761,.354,102.7,1.31,,"4,900","5,600"
209,±èÃ¢Èñ,2002,K,LF,114,350,310,28,67,12,0,5,94,35,4,0,27,4,0,79,15,4,5,.216,.283,.303,.587,.266,56.7,-0.53,,"5,600","6,300"
58,±èÃ¢Èñ,2003,µÎ,CF,121,328,288,36,79,12,2,3,104,36,5,3,27,2,0,36,14,8,3,.274,.338,.361,.699,.315,83.9,1.10,,"6,300","7,500"
